VK,HT,FT,HT_normalized,FT_normalized,Injection
71,128,128,0.0822742474916388,0.10810810810810811,0
69,143,81,0.09230769230769231,0.06841216216216216,0
32,96,112,0.06086956521739131,0.0945945945945946,0
73,96,192,0.06086956521739131,0.16216216216216217,0
83,96,111,0.06086956521739131,0.09375,0
32,80,81,0.05016722408026756,0.06841216216216216,0
84,128,144,0.0822742474916388,0.12162162162162163,0
72,112,80,0.07157190635451505,0.06756756756756757,0
69,128,112,0.0822742474916388,0.0945945945945946,0
32,95,80,0.06020066889632107,0.06756756756756757,0
80,112,176,0.07157190635451505,0.14864864864864866,0
79,111,144,0.07090301003344482,0.12162162162162163,0
83,256,127,0.16789297658862876,0.10726351351351351,0
73,112,208,0.07157190635451505,0.17567567567567569,0
66,80,96,0.05016722408026756,0.08108108108108109,0
73,272,193,0.17859531772575252,0.16300675675675674,0
76,208,0,0.13578595317725753,0.0,0
73,80,928,0.05016722408026756,0.7837837837837838,0
84,113,95,0.07224080267558529,0.08023648648648649,0
89,127,113,0.08160535117056857,0.09543918918918919,0
32,95,112,0.06020066889632107,0.0945945945945946,0
79,112,160,0.07157190635451505,0.13513513513513514,0
70,96,112,0.06086956521739131,0.0945945945945946,0
32,111,64,0.07090301003344482,0.05405405405405406,0
65,113,143,0.07224080267558529,0.12077702702702703,0
68,239,113,0.1565217391304348,0.09543918918918919,0
8,192,560,0.12508361204013377,0.47297297297297297,0
79,64,655,0.03946488294314381,0.5532094594594594,0
8,32,496,0.018060200668896322,0.4189189189189189,0
68,97,96,0.06153846153846154,0.08108108108108109,0
79,79,97,0.049498327759197325,0.08192567567567567,0
80,127,160,0.08160535117056857,0.13513513513513514,0
84,79,320,0.049498327759197325,0.2702702702702703,0
73,144,63,0.09297658862876254,0.05320945945945946,0
78,96,80,0.06086956521739131,0.06756756756756757,0
71,127,97,0.08160535117056857,0.08192567567567567,0
32,111,96,0.07090301003344482,0.08108108108108109,0
67,113,223,0.07224080267558529,0.1883445945945946,0
72,112,48,0.07157190635451505,0.04054054054054054,0
73,112,65,0.07157190635451505,0.05489864864864865,0
76,145,159,0.09364548494983277,0.13429054054054054,0
68,79,145,0.049498327759197325,0.12246621621621621,0
82,178,191,0.1157190635451505,0.16131756756756757,0
69,128,80,0.0822742474916388,0.06756756756756757,0
78,96,64,0.06086956521739131,0.05405405405405406,0
190,112,160,0.07157190635451505,0.13513513513513514,0
32,112,80,0.07157190635451505,0.06756756756756757,0
16,273,128,0.17926421404682275,0.10810810810810811,0
75,127,161,0.08160535117056857,0.13597972972972974,0
73,111,256,0.07090301003344482,0.21621621621621623,0
68,95,112,0.06020066889632107,0.0945945945945946,0
83,127,96,0.08160535117056857,0.08108108108108109,0
32,112,175,0.07157190635451505,0.14780405405405406,0
71,80,176,0.05016722408026756,0.14864864864864866,0
82,112,176,0.07157190635451505,0.14864864864864866,0
79,112,32,0.07157190635451505,0.02702702702702703,0
87,112,176,0.07157190635451505,0.14864864864864866,0
85,98,96,0.06220735785953177,0.08108108108108109,0
78,128,64,0.0822742474916388,0.05405405405405406,0
32,65,192,0.04013377926421405,0.16216216216216217,0
8,368,528,0.24280936454849497,0.44594594594594594,0
73,144,544,0.09297658862876254,0.4594594594594595,0
78,96,112,0.06086956521739131,0.0945945945945946,0
71,112,48,0.07157190635451505,0.04054054054054054,0
32,63,113,0.03879598662207358,0.09543918918918919,0
85,192,111,0.12508361204013377,0.09375,0
80,144,144,0.09297658862876254,0.12162162162162163,0
32,127,81,0.08160535117056857,0.06841216216216216,0
78,96,191,0.06086956521739131,0.16131756756756757,0
69,256,112,0.16789297658862876,0.0945945945945946,0
68,80,368,0.05016722408026756,0.3108108108108108,0
32,80,64,0.05016722408026756,0.05405405405405406,0
84,128,128,0.0822742474916388,0.10810810810810811,0
79,96,64,0.06086956521739131,0.05405405405405406,0
32,96,48,0.06086956521739131,0.04054054054054054,0
72,128,112,0.0822742474916388,0.0945945945945946,0
65,160,64,0.10367892976588629,0.05405405405405406,0
86,128,96,0.0822742474916388,0.08108108108108109,0
69,127,65,0.08160535117056857,0.05489864864864865,0
32,96,79,0.06086956521739131,0.06672297297297297,0
66,128,112,0.0822742474916388,0.0945945945945946,0
79,128,112,0.0822742474916388,0.0945945945945946,0
84,128,112,0.0822742474916388,0.0945945945945946,0
72,112,112,0.07157190635451505,0.0945945945945946,0
69,112,128,0.07157190635451505,0.10810810810810811,0
32,96,160,0.06086956521739131,0.13513513513513514,0
8,272,736,0.17859531772575252,0.6216216216216216,0
32,112,273,0.07157190635451505,0.23057432432432431,0
65,111,80,0.07090301003344482,0.06756756756756757,0
32,64,127,0.03946488294314381,0.10726351351351351,0
77,64,352,0.03946488294314381,0.2972972972972973,0
79,64,144,0.03946488294314381,0.12162162162162163,0
84,96,80,0.06086956521739131,0.06756756756756757,0
72,79,97,0.049498327759197325,0.08192567567567567,0
69,111,80,0.07090301003344482,0.06756756756756757,0
82,112,63,0.07157190635451505,0.05320945945945946,0
32,79,49,0.049498327759197325,0.041385135135135136,0
65,96,143,0.06086956521739131,0.12077702702702703,0
78,112,64,0.07157190635451505,0.05405405405405406,0
68,95,113,0.06020066889632107,0.09543918918918919,0
32,80,127,0.05016722408026756,0.10726351351351351,0
70,112,144,0.07157190635451505,0.12162162162162163,0
65,111,113,0.07090301003344482,0.09543918918918919,0
84,111,112,0.07090301003344482,0.0945945945945946,0
72,96,95,0.06086956521739131,0.08023648648648649,0
69,175,17,0.11371237458193979,0.014358108108108109,0
82,112,111,0.07157190635451505,0.09375,0
32,96,48,0.06086956521739131,0.04054054054054054,0
79,127,97,0.08160535117056857,0.08192567567567567,0
70,112,95,0.07157190635451505,0.08023648648648649,0
32,80,128,0.05016722408026756,0.10810810810810811,0
68,96,208,0.06086956521739131,0.17567567567567569,0
73,80,80,0.05016722408026756,0.06756756756756757,0
70,272,160,0.17859531772575252,0.13513513513513514,0
69,64,368,0.03946488294314381,0.3108108108108108,0
82,112,32,0.07157190635451505,0.02702702702702703,0
69,112,144,0.07157190635451505,0.12162162162162163,0
78,96,144,0.06086956521739131,0.12162162162162163,0
84,110,130,0.07023411371237458,0.1097972972972973,0
32,96,158,0.06086956521739131,0.13344594594594594,0
69,79,97,0.049498327759197325,0.08192567567567567,0
83,128,191,0.0822742474916388,0.16131756756756757,0
69,128,64,0.0822742474916388,0.05405405405405406,0
88,94,274,0.05953177257525084,0.23141891891891891,0
69,96,206,0.06086956521739131,0.17398648648648649,0
83,112,112,0.07157190635451505,0.0945945945945946,0
32,64,80,0.03946488294314381,0.06756756756756757,0
79,96,160,0.06086956521739131,0.13513513513513514,0
82,112,80,0.07157190635451505,0.06756756756756757,0
32,80,64,0.05016722408026756,0.05405405405405406,0
69,112,144,0.07157190635451505,0.12162162162162163,0
76,95,113,0.06020066889632107,0.09543918918918919,0
83,128,111,0.0822742474916388,0.09375,0
69,128,64,0.0822742474916388,0.05405405405405406,0
32,80,112,0.05016722408026756,0.0945945945945946,0
73,96,144,0.06086956521739131,0.12162162162162163,0
84,112,112,0.07157190635451505,0.0945945945945946,0
32,95,113,0.06020066889632107,0.09543918918918919,0
67,128,463,0.0822742474916388,0.3910472972972973,0
79,128,96,0.0822742474916388,0.08108108108108109,0
85,114,48,0.07290969899665552,0.04054054054054054,0
76,96,224,0.06086956521739131,0.1891891891891892,0
68,96,80,0.06086956521739131,0.06756756756756757,0
32,80,64,0.05016722408026756,0.05405405405405406,0
66,96,144,0.06086956521739131,0.12162162162162163,0
69,96,80,0.06086956521739131,0.06756756756756757,0
32,100,97,0.06354515050167224,0.08192567567567567,0
68,96,223,0.06086956521739131,0.1883445945945946,0
69,96,288,0.06086956521739131,0.24324324324324326,0
84,96,160,0.06086956521739131,0.13513513513513514,0
82,96,192,0.06086956521739131,0.16216216216216217,0
73,80,768,0.05016722408026756,0.6486486486486487,0
77,80,192,0.05016722408026756,0.16216216216216217,0
69,79,97,0.049498327759197325,0.08192567567567567,0
78,96,111,0.06086956521739131,0.09375,0
84,63,97,0.03879598662207358,0.08192567567567567,0
65,128,95,0.0822742474916388,0.08023648648648649,0
76,128,64,0.0822742474916388,0.05405405405405406,0
32,111,65,0.07090301003344482,0.05489864864864865,0
84,128,127,0.0822742474916388,0.10726351351351351,0
79,112,96,0.07157190635451505,0.08108108108108109,0
32,80,80,0.05016722408026756,0.06756756756756757,0
84,111,81,0.07090301003344482,0.06841216216216216,0
72,128,79,0.0822742474916388,0.06672297297297297,0
69,112,144,0.07157190635451505,0.12162162162162163,0
73,96,144,0.06086956521739131,0.12162162162162163,0
82,112,128,0.07157190635451505,0.10810810810810811,0
32,112,80,0.07157190635451505,0.06756756756756757,0
80,80,304,0.05016722408026756,0.25675675675675674,0
83,128,112,0.0822742474916388,0.0945945945945946,0
89,96,160,0.06086956521739131,0.13513513513513514,0
67,80,160,0.05016722408026756,0.13513513513513514,0
72,79,81,0.049498327759197325,0.06841216216216216,0
69,112,111,0.07157190635451505,0.09375,0
190,112,144,0.07157190635451505,0.12162162162162163,0
32,111,113,0.07090301003344482,0.09543918918918919,0
16,192,143,0.12508361204013377,0.12077702702702703,0
73,112,64,0.07157190635451505,0.05405405405405406,0
77,80,224,0.05016722408026756,0.1891891891891892,0
65,110,114,0.07023411371237458,0.09628378378378379,0
71,112,62,0.07157190635451505,0.052364864864864864,0
73,127,113,0.08160535117056857,0.09543918918918919,0
78,112,79,0.07157190635451505,0.06672297297297297,0
69,128,80,0.0822742474916388,0.06756756756756757,0
32,96,160,0.06086956521739131,0.13513513513513514,0
73,80,160,0.05016722408026756,0.13513513513513514,0
84,96,96,0.06086956521739131,0.08108108108108109,0
188,80,144,0.05016722408026756,0.12162162162162163,0
32,80,64,0.05016722408026756,0.05405405405405406,0
71,64,240,0.03946488294314381,0.20270270270270271,0
82,112,176,0.07157190635451505,0.14864864864864866,0
79,76,84,0.04749163879598662,0.07094594594594594,0
87,112,140,0.07157190635451505,0.11824324324324324,0
73,128,96,0.0822742474916388,0.08108108108108109,0
78,144,80,0.09297658862876254,0.06756756756756757,0
71,112,224,0.07157190635451505,0.1891891891891892,0
32,64,176,0.03946488294314381,0.14864864864864866,0
85,128,144,0.0822742474916388,0.12162162162162163,0
80,112,144,0.07157190635451505,0.12162162162162163,0
32,111,113,0.07090301003344482,0.09543918918918919,0
87,111,112,0.07090301003344482,0.0945945945945946,0
73,80,127,0.05016722408026756,0.10726351351351351,0
84,96,112,0.06086956521739131,0.0945945945945946,0
72,113,80,0.07224080267558529,0.06756756756756757,0
32,129,64,0.08294314381270904,0.05405405405405406,0
84,128,96,0.0822742474916388,0.08108108108108109,0
87,143,129,0.09230769230769231,0.1089527027027027,0
79,144,95,0.09297658862876254,0.08023648648648649,0
32,96,128,0.06086956521739131,0.10810810810810811,0
70,96,272,0.06086956521739131,0.22972972972972974,0
65,96,208,0.06086956521739131,0.17567567567567569,0
84,112,80,0.07157190635451505,0.06756756756756757,0
72,96,96,0.06086956521739131,0.08108108108108109,0
69,112,97,0.07157190635451505,0.08192567567567567,0
82,128,47,0.0822742474916388,0.03969594594594594,0
83,112,240,0.07157190635451505,0.20270270270270271,0
188,96,128,0.06086956521739131,0.10810810810810811,0
32,96,64,0.06086956521739131,0.05405405405405406,0
79,112,160,0.07157190635451505,0.13513513513513514,0
82,128,64,0.0822742474916388,0.05405405405405406,0
32,96,224,0.06086956521739131,0.1891891891891892,0
84,112,144,0.07157190635451505,0.12162162162162163,0
87,159,113,0.10301003344481606,0.09543918918918919,0
79,128,111,0.0822742474916388,0.09375,0
32,95,81,0.06020066889632107,0.06841216216216216,0
77,48,159,0.028762541806020066,0.13429054054054054,0
79,128,64,0.0822742474916388,0.05405405405405406,0
84,112,304,0.07157190635451505,0.25675675675675674,0
72,95,1,0.06020066889632107,0.0008445945945945946,0
69,127,688,0.08160535117056857,0.581081081081081,0
82,128,63,0.0822742474916388,0.05320945945945946,0
83,128,192,0.0822742474916388,0.16216216216216217,0
190,112,96,0.07157190635451505,0.08108108108108109,0
